text,label
so i m have had depression since i wa snd i suffered from anxiety since 0 my anxiety wa not that bad overall i might have a bad day here or there but i never really had it for week or month like i have it now i know i get it really bad the longer i m in my head the next part is the backstory and i would like your guy opinion on what to do so there this girl in college that i absolutely adore we have the same major and we graduate in may i ve known her for about year and i told her how i felt and asked her out in december i didn t know she just gotten out of a relationship so she said she wasn t ready for one and she needed some time to get in the right mindset she told our mutual friend about and told her that s the only reason she didn t say yes the next part i completely screwed up i never told her that i wa waiting for her i wanted to but would chicken out i wa planning on texting her every couple of day but personal stuff came up and i thought some of it would be to heavy of a subject matter to talk with her about like my grandmother being on death s door so i didn t really sayuch during our winter break also this is when i really started to get in my head i would just imagine all these different scenario and date with her and it just made me anxious and i didn t know how to stop them then by the time i worked up the courage to figure through my anxiety to tell her some different stuff like i m willing to wait for her that i appreciated a certain day and how she made special to me and how i feel like a very closed person and i wanted to open up with her she got in a relationship and i don t blame her i blame myself because looking at it from her point of view it seems like i wa not interested in her anymore also just want to insert that she know i care for her when she had covid i checked up on her everyday since then i been having what i think are panic attack i will have the shortness of breath and my hand will start shaking uncontrollably and recently i will also have some chest pain with it before she got the relationship i started going to counseling to try to improve my mental health to let you know how i feel about this person she make me feel like no else ha ever done before my feeling gor her are so intense and i ve tried to move on but the feeling get stronger she belief in me more than i so myself plus my heart think she might be the one which i know is crazy she s the most important person in the world to me and i don t want to lose her after graduating here lately i feel like i been acting strange around and it s because of this anxiety so my question is do i tell her what i m going through i feel like this will help with my anxiety and give her some insight to why i ve been acting the way i been how much do i tell her i feel if i don t tell her my anxiety will keep on getting worse and i probably won t be able to actually have a conversation with her the rest of the school year and we might drift apart after graduation i would still like to be friend with her after graduation thank you for reading this also i don t know if this is the right community for this but i would really value your opinion,1
friend just attempted to jump off a building approx hr ago though he s fine atm he blocked literally most if not all ppl s contact to him and of course there s fucking omicron so i physically can t go see him right away can i get some advice here on what to do in this situation edit it got slightly better now a he s at least turned back up on his social medium,1
why oh why do i watch video of people dying right before i m going to sleep,0
hyperbets i hope this doesn t last too long i feel miserable,0
hi all i ve recently gotten out of a pretty long depressive episode i ve cleaned my room and done my laundry my biggest issue is now the dish i ve acquired quite a few dish in my room and today a few of my roommate noticed that some thing have been gone a while how do i put them back without them really noticing that it s back all at once and saving me from their anger and even more embarrassment,1
thlolo march eh it s because i don t want stress mjolo uyi depression,1
fckeveryword in case you didn t know depressed adjective low in spirit sad especially affected by psychological depression vertically flattened having the central part lower than the margin http t co iv 9md l,1
michellepen immensely started playing with new site a i didn t want to mess up easter one paranoid moi,0
ha realized that twitter is getting more attention from her mama then she is hahaha lame,0
i ve been in therapy nearly all my life and have gotten very good at using coping skill that help with the cognitive piece of my anxiety i e responding to my thought distraction etc the part that i still have a lot of difficulty with are the physical symptom i e chest tightness deep breathing doesn t really work well for me any suggestion that you all have for dealing with these symptom,1
man did i had a wacky dream this early morning loggin here look like at is spamming me with update,0
i stood up for myself about not being credited for artwork used by my school and now somehow that ha lead to a teacher talking about me to my peer behind my back and me being harassed by a woman who work for the school on their drama production i contacted my principal and he ha not responded my mom say if i go to anyone higher up i will get in trouble i feel trapped everyone hate me now and the rest of my school year is going to be horrible i feel like the only way to fix this situation is to die i fucked everything up,1
life feel shitty i m not smart i don t find myself attractive i m so skinny have no friend toxic family not in a relationship i feel lame i m legit going insane have suicidal thought but luckily i feel a bit better cuz i had a convo with my therapist today i feel like nothing is changing my mind,1
babyvtec geez it s so late for you good luck at work tomorrow i am soooo knackered too love you,0
madninjacurl hey neighbor neither can i,0
nobody would care if i wa dead i don t think my family would even react i starved myself and fasted everyday and looked sick and no one even noticed or remembers,1
it s so strange waking up everyday with this sense that you want thing to go back to the way they were like your brain ha it own lil trumpster lying to you telling you your childhood wa better before or you were happy before you started this job etc the truth is it s always sucked though lol there are brief moment now where you feel like thing are okay but it s more of a lack of feeling i ve always thought i wa broken because this ha been my constant state since i wa so small i thought i d grow out of it or i wouldn t but life only continues to throw curveballs to others i seem high functioning though kind of emotional but i can t get myself to focus on anything i can t wake up on time for work i work in insurance sale so i hate what i do i have to pretend to care about people and their problem but it just hurt so bad all of the time i know my boyfriend doesn t understand he s in medical school and ha his own struggle but i know he feel love he tell me he doe i don t and even if i do see briefly in his eye that he doe care for me i quickly forget depression ha made me into a terrible person i should be so lucky to have someone who love me so much to have my look my wit and the opportunity i ve been afforded but i can t help but feel so completely destitute he ha helped me find some confidence in myself with pursing going back to school but i m just so tired of it the sale call the application car issue bill health stuff and every other fucking thing when will i be able to do the thing i need to do like eat meal a day have the energy to learn new thing exercise also ha anyone had any luck with any online therapy medication consultation,1
honestly im tired of everything especially myself im not good for anyone and been blocked by a friend who told me i wa toxic and manipulative im stupid and worthless why do i even deserve to live i wish there is a fast way to kill myself and end this peacefully,1
need to stop sleeping all day cause some problem when you re wide awake at am,0
oww the poor darling body of missing tracy girl sandra cantu found inside suitcase www tinyurl com dfhvzg tracy,0
paul pogba man utd midfielder experienced depression under jose mourinho bbc sport http t co lqiuvbtd n,1
ooo dr who is on in hd ok ok i m officially a sad techy geek,0
lately people have been romanticizing depression into something trendy which further stigmatizes the illness and the people diagnosed with it,1
but it s honestly time to go i can slowly feel depression creeping in with the amount of time i spend here unhappy if anyone come across this tweet please assist me with recommendation reference or job placement being in the hr field i fully understand how difficult it is,1
how do i go about telling a friend i m suicidal i feel like i m just being dramatic but i m having intense thought though i m not sure i d act on them and i don t have a proper plan though i m always thinking about it at the same time i don t want to bother anyone it must be a horrible thing to hear from someone and there s nothing they can do really but i m not sure what i can do at this point either i m just so desperate,1
seamonkey i am on a healthy eating kick i could only have shetland pony,0
slept badly still feel like hell but maybe not a bad a yesterday why am i always ill when i take time off work,0
http t co vb0egkkj best way to cure depression naturally just wake up early depression bealive anxiety focus brain bestadvice youtubevideo,1
depressed college student checking in i literally get 9 hour of sleep every single night i dont drink or abuse substance and am in good shape for the love of god i can not get my as out of bed i seriously cant im having really poor attendance issue becayse of this i hate what i do i see no point in all of this struggle to just fuckin exist all this hell i go thru debt stress and burnout is all so i can have a chance at a shit show 9 job my school love to make life unnecessarily hard to keep student from graduatin on time so they can suck more ane more from u getting out of bed is my biggest challenge it all full circle im depressed i dont like what i do and i dont feel that what im doing is effective i m anxious about my future and dont know what to do about it all i look forward to doing is sleeping eating is a chore showering is a chore being awake is a hassle the cost of existance ha won it beat the life outta me,1
i cant bear not being beatiful im a man not girl i just can t i cant begin to process how i myself and be le beatiful im gon na die soon but i havent quiited my job i make good saving each month i have some other bunch of saved money how can i have some clean fun no s x no drug or should i try to help others gift food school supply clothes to those who need it i know i can donate my eyeball and no one will care because my face isnt beatiful beauty of the face is literally what made human conciousness how do i face the use of money since i wont be needing it in old age which ill never reach,1
i don t know how much longer i m gon na wait could be a few day or a couple week or month definitely by the end of the year though it all depends on if it get even worse and how much worse it get if it get better then i won t do it but i don t see that happening given the pattern it s like every month i lose someone else every day i get a bigger workload and enjoy the thing i like a little le i m an alcoholic and i m not even old enough to drink i ve promised it to myself so many time because it s comforting feeling like the way out is close even if it s not happening but this time is different this time i really don t think i can go on maybe i m just a baby maybe i m over dramatic maybe i m a piece of shit who deserves to die or deserves to live miserable it doesn t matter anymore the reason i have aren t gon na go away or get better just because people tell me they aren t good reason sorry to everyone i m glad i made a new account so they won t see this specific post at least i m probably gon na post the note to instagram right a it s happening just so it s out there and people know and i don t just disappear from everything and leave anyone worrying,1
isnt very happy with twitter at the moment wont let me upload my picture wishing dougie or tom would reply to me,0
i know not many people will see this or probably care but i have no one or at least no one who ll genuinely listen a year or two ago i wasn t the best person selfish and careless i wa an alcoholic and a drug addict to deal with everything which i know now wa a horrible coping mechanism but it wa all my year old brain knew how to do a addiction ran in my family i wa hypersexual with no fundamental understanding of consent because all i knew wa assault i would get drunk and say horrible thing and my action reflected that i know trauma isn t an excuse for everything i did to people i used to call my friend but i swear i never meant to hurt anyone i wa horrible and when i realized how much hurt i had caused i never let myself live it down i couldn t look at myself the same i would cry for hour because i wa a monster that brought trauma to others life i honestly didn t know how to be healthy and i didn t know how to make real friend without making it sexual because that s all i thought people wanted from me i know these are a bunch of bullshit excuse but i don t know what to do i never wanted to be this person i left the school that wa once my haven because of the rumor i can t tell who i am anymore am i the monster they think i am i barely remember anything and i wa always drinking so it s all a blur amp x 00b i m a girl i m and this is where it started i m not going to give my life story just the bit that matter i wa accused of assault almost a year ago now with many other claim that had to do with my toxicity the original person who accused me and i had dealt with it privately and she had recognized that i wa extremely drunk when it happened and the lack of communication on both end honestly i have taken accountability for the fact that i shouldn t have drank underage and made her uncomfortable i remember bit and piece of that night some of it i can t even put together in my head but i realized that my behavior wa unacceptable and it wasn t okay not okay in the slightest but it got out to my whole school rumor began and people i had past romantic and sexual relationship with accused me of either assaulting them or being toxic i left the school and sought a lot of therapy but the rumor have entered my life in a more public setting i don t blame anyone i wa honestly a piece of shit but i know everything wa consensual but now i m not even sure of anything i think i m a monster i don t know what s real and what isn t i wa manipulative and a downright horrible person but i ve done everything i can to change and apologize but i can t seem to do it right i want to take accountability and be better but also want my name out there on the internet associated with these thing my parent don t deserve this i want to be able to be normal again but then i realize my life ha been normal i ve always through trauma my life is basically one big thing of trauma whether i realize it or not i m so sorry i really hate myself for hurting the people i did i don t want pity and i know nothing i can do can fix my reputation i don t even think i deserve it i really think i should just kill myself i think that d give the people i hurt peace of mind i don t think i deserve to live this life i m really sorry i know you ll judge me too but i promise i m really trying to be better and to help people i m not sure which perception is real theirs or mine i m broken down and i wan na be a kid again with my favorite stuffed animal maybe just take a nap and then i ll wake up and be okay,1
i wa suffering from walking up in the morning in absolute terror not long after starting this that ha subsided but now when i take this when i go to bed if i don t fall asleep within 0 min i get racing thought and confusion and none of the thought make any sense a in they are not logical doe anyone else have these issue trying to figure out if it s the drug or me,1
i used to enjoy posting and just interacting with people but now i can t bring myself to open it up it s just awful seeing post and post of people just living while i m just existing stagnant it all feel so counterfeit,1
i miss jesus i miss the warmth warmth of the graspclasped onto me with both handsholy hand holding hand hold my handi remember i surrender to falsity and ill conceived connotation taught to believe misinformation that my purpose wa purposeful but it s all for man s profitand the only true prophet is the soothsayerand the soothsayer is an entity of many layersa coterie educates on blanket of misconceptionblanket me so i ll be warm full and fret freedisrobe me so i ll be broken open and emptyall i take is blue pill to calm mebut all i really intake is falsitythese line are just stanza so do a you willlife demand a mind of stabilitynot insanity but insane is written all over meso take your fake pill and snort up these linesor waste it all get ill and snort white lineswhite lie won t kill right get wasted don t wake up just wait for you to fucking taste itit s never enoughtake your blind pleasure freedom and delight it your birthrightfree will do a you willbut think twice before they put you on the spotlight because once they have you chained up you convert into a cenobite with no change you secure your own chainsand if you re unbothered call me deranged may a well fasten the rope and stay restrained no one s going to save you except the latter so choose a life of false glamour or have it shatterthe pain is worth itonce you re open you can truly observe it unlearn it be free from the cage or stay locked in and fall into the greyits all a fucking rat race,1
new article from obmintegrativeandcomplementarymedicine covid on the brain anxiety sensitivity and mindful awareness mediate the relationship between covid 9 obsession and anxiety http t co vfegm9dpzf http t co wkkexnjdys covid 9 anxiety depression http t co u pembdvcm,1
happy international day against depression yeah today is my birthday too lol,1
i have decided my room need to be more quirky so angel gave me a mirror and my a button isn t working too well either,0
so me and my boyfriend met at we were friend for yr first we had the same grade in school and got into the same top university fast forward to our final year at university my boyfriend take a different major to me he is getting top grade and had a great job lined after he graduate i on the other hand have completely given up on life i gave up learning to drive seeing my friend going to class i m probably not graduating i gave up on wanting to do something with my art aswell i spent my last year physically and mentally ill i worked so many hour a a a waitress because my family are really low on money but ive even given up on working a lot he s just more bubbly and smart compared to me he s also not a poor a i am he s just better than me,1
i already called in yesterday for work i wa up all night laying here just awake counting down the hour to work wa so exhausted by the time work came around that i called in and even then i couldn t sleep it s now 0 pm and i ve gotten under an hour of sleep in the last 0 hr i m starting to worry a bit this month ha been so hard for me i literally almost walked into traffic on the way to work last week been cry so much i m so alone and it really scare me because i m going through all of this by myself,1
sofii noel that s bad,0
i have never thought i d reach my 0 cuz since my early year i have been suicidal my life ha always been the worst i wa given the worst family my parent were when i wa born they were totally unable to raise a kid yet they decided to keep their pregnancy being a teen parent in a country where abortion is 00 legal since 9 is at least a huge stupidity i don t even have to say that my childhood and teenage year were creepy i went still do through need i had the worst and cheapest toy basic clothes the cheapest cell phone etc people are like forget about the past and focus on the present how do y all think it s easy to forget about poverty no it s not i can t forget all the humiliation abuse and privation i had to go through i m now totally hopeless still suicidal and i m pretty sure death is the only thing that can take my pain away and sooner or later i ll end up a a suicidal person i ve already tried to wait and see if thing get better but nothing changed thing get easier for a short period of time and then get unbearable again i just hope i die soon and all my pain fade,1
i really hate how people dis my band trace is clearly not ugly,0
if he doesn t get better in a few day he could have something lodged in his belly,0
im talking about the kind of depressive episode where you lay in bed all day for day week and struggle to find energy motivation for simple functioning such a eating and showering just lay sit there having negative thought and feeling hopeless useless and pathetic i have these episode a few or so time a year my question is do you generally have something in your mind that feel like the obstacle you need to cross to start the process of getting out of your depressive episode for example sometimes for me i just feel like if only i could completely clean my house i d start to feel better other time it might be something else on my to do list or a few thing i feel are the obstacle to feeling better the obstacle always seem insanely mundane but also impossible to do in my state a if i d have to put on a ton of body weight and get up and do it with all that extra weight and already feeling fatigued it bizarre because ive noticed over the year that completing whatever it is that i ve decided a my obstacle is generally the st step to leaving my major depressive episode i can t describe the mental workout it is to get something done sometimes though like i may attempt to get it done time in a week to just end up giving up and going back to bed i m just wondering if anyone else get this and set up hurdle type thing for themselves when they are super depressive and do you ever eventually complete your obstacle amp doe it help you to coming out of the episode,1
i shower and wash my hair naturally curly so it s a whole routine do my skin care routine and feel good for a day or two then i just don t even want to do it again i stop washing my hair for a week or two i completely stop taking care of my skin i fall off my routine until i get that motivation back to do it again i m getting so tired of this i miss how soft and fluffy my hair feel after washing it i miss how clean and soft my face feel after exfoliating moisturizing i wish i could do this everyday but i just fall off i get so depressed and watch my hair and skin turn into exactly how i feel for the past few day now i haven t even been able to get out of bed i lay there wanting to do thing but i just don t get up it feel like there s so much weight on top of me just holding me down the only one good thing i did yesterday wa getting up to wash the dish i like celebrating the smaller thing but i m kinda getting tired of that i wish i didn t have to i wish i wa functioning like everyone else i wish living didn t feel like such a chore i seriously wish i could give my life to someone who want to live this out anyone else probably would ve made better choice to get out of my situation and much earlier too i feel so useless if anyone s got tip for the getting back into routine thing please throw anything you ve got at me thank you for reading,1
etoro the worst thing man utd can do is offer him a new deal to match his financial demand pogba is a virus hence his partnership with raoila all they want is money once they don t get it they start the noise about football depression bla bla,1
i just fucking hate myself the thing is that i just recently got to the point where everytime i look into the mirror i just like get so anxious so fast like idk anymore all these negative feeling flood me when i see myself i just wish i wa better at everything and i look fucking disgusting and i know everyone around me is just thinking that i cant even eat and sit or sleep somewhere without fearing people judge me also im afraid of getting fat cause it would ruin my image even further the voice in my head want me to stop eating i just cant anymore i wan na km,1
wyldceltic so i read i m glad you re doing better,0
skynicmac shame,0
if it add any kind of info m almost the thing is that ive always felt down kind of bad obsessed over a lot of stuff over time mainly school and once my grade obsession wore down started getting obsession nonstop this led to me having high anxiety even higher than before and eventually not recognizing myself in the mirror that and another bunch of stuff later i finally got into therapy and a psychiatrist they gave me sertraline for the ocd like symptom and intrusivity on my thought i have intrusive thought but those were way more maneagable than these so it worked great everything wa going fine and better everyday didnt stop getting better i had an episode of hipo mania caused by the sertraline i suppose so after going back to half the pill so mg now and a new psychiatrist my main one wa sick he told me thats what the episode wa called and recommended i get new medicine a people with bipolar disorder get that kind of stuff ive literally got no clue of what to do do i get tested for bipolar and get new medicine do i stick with sertraline a it solved my main issue bipolar somewhat make sense to me but i literally dont know what to do about it please forgive any grammar mistake a english isnt my main language,1
myocardium dl shikista could be heart broken depression is yasiat,1
i wonder what misery awaits me in the msq today but that will have to wait until later i refuse to start off my morning with depression and a side of despair gold saucer shenanigan and such before starting work http t co mmfvogcfiu,1
everybody s trying to feel ok about themselves otherpeople mentalhealth selfhelp depression anxiety,1
saf wouldn t even work with him and his greedy agent jose brought him back with the highest fee and loved him like son jose should be the one talking bout depression because he wa really backstabbed,1
theekween help people who suffer from depression anxiety loss of loved one heartbreaking or have witness something traumatic thelmaherbs http t co n fluyyqw,1
hero is losing it s momentum come on writer pick it up,0
theekween help people who suffer from depression anxiety loss of loved one heartbreaking or have witness something traumatic thelmaherbs,1
no snoo snoo for you,0
kal penn i just watched house and got really sad i liked kutner,0
mrskutcher i wa just thinking that today how deprssing it all is make u appreciate life more,0
i don t like these late start night shift coupled with it being bloody light outside my window when i m meant to be going to sleep,0
utdcynical crossydailystar fan got depression watching the bollox,1
sad that the foot of my macbook just fell off,0
i m am very depressed i m getting a degree that i have no interest in getting a job in i work in a retail store and feel like i m going to end up stuck in these type of job forever i play video game hour every day i eat unhealthy my living situation stress me out tremendously i don t want to move back in with my parent but i also can t afford to live on my own i have no passion no drive no meaning in life i m so lost why do i feel like i m losing all control of my life like the world is crumbling around me and i m slowly beginning to fall towards my end the worst part about it is i already know what i have to do to fix my depression work out sleep well quit weed quit masturbating quit nicotine eat well and most importantly stop playing video game i just never do any of them sometimes i ll go a few day good get this sense of euphoria and tell myself everything is fine why am i even worried about the future right now i don t need to do any of this stuff i can fix my life whenever then i go back into my depressive whole i cut off everyone and isolate myself background please don t suggest therapy i ve been to three separate therapist ongoing for the last three year,1
ogbenidipo iwa were gba we see the reason you are deep in depression you can t speak this way to your parent and expect to be healed of depression in actual fact it will sink you deep into depression,1
is upset that he can t update his facebook by texting it and might cry a a result school today also blah,0
i have gad and have been going through an emotional upheaval with my partner causing extra stress i ve been reducing my lexapro slightly a i felt it wa not working but now am more anxious than ever despite tiny change today i woke up full of dread to go to work no reason i love my job but it all felt too much a a mid ground i decided to work from home today instead of going in i still feel light headed and awful and have the added guilt of messing client around by changing the schedule or converting to online service what do i do how do i get myself to work when it all feel too much,1
and they advertising fake louis bag a 00 authentic on google i m pissed,0
realmissdike actually don jazzy had a god like influence on the music industry at that time sha plus it wa a legal tussle to add to it so there wa no moving for wc think depression set in along the way for him too,1
what is common between chidambaram and george bush,0
mrsfr yes unfortunately the date clashed with an important and long standing family party got to do it on my own,0
yay sj will be on come to play kibum is of course missing and so is teuk,0
fishmouse it is hilarious and i linked the clip from lj some time ago but when i went back just now it wa a dead link,0
depression nap gt gt gt,1
lady do you feel like your med don t work at all during your period i swear every month around my period and while i m on it i m a absolute anxious depressed mess,1
omg exam killed me how could i not know the difference between haif a circle and a hemisphere lt gt,0
i miss one of my friend,0
it can take me almost a week to clean something simple or put away a small pile of laundry i didn t even eat today by anxiety wa too high and when i brought it down the depression wa unbearable all i can think about is how i never asked to be in this life to be born especially in today society i have trouble connecting with people and my social anxiety is so bad all the therapist i ve seen never really cared and acted like i wa being over dramatic the pill made everything worse and now i m apparently treatment resistant i can t even finish my resume because i m terrified of being around people again yet i can t find anyone who care enough to help my friend don t understand and they ve given up on me i just want a simple stay at home job with very little human interaction my friend said that s impossible which made me even more suicidal i hate the phrase it s a permanent fix to a temporary situation this isn t temporary i ve been dealing with depression and anxiety for basically year now yes i ve tried to get help but nothing ha worked i just keep getting worse i don t want to wake up i m too afraid of messing up an attempt that i haven t gone through with it i m just stuck in this hellish existence and i just want it to end i have no purpose no meaning please i just want it to end,1
ravivisvesvarayasharadaprasad http t co tivxonhqh mental health using social anxiety and depression a tool of productivity,1
bliss peace rest ease solidified finite,1
i ve been diagnosed with major depressive disorder about two year ago and wa put on medication felt better and the med were tapered off i however feel it returning and most day seem like shit i can wake up and do normal work like i do however there s a constant feeling of sadness that s overwhelming and i worry about a lot of thing around me i worry that i wa a horrid person to my parent and the people around me doe it ever go away i don t want to be dependent on medication for the rest of my life,1
hi so can anxiety stress make a person physically ill like shivering dizzy throwing up nauseous no appetite drastic weight loss i need serious help i ve always had alittle anxiety who doesnt i have been biting my nail my whole life but recently i ve been having health issue going to the hospital and doctor constantly and they find nothing wrong i eventually got diagnosed with ibs but isn t ibs linked to stress my symptom have been getting worse i lost both my grandpa in 0 i got accepted into school which is exciting but maybe stressful i constantly feel like i need to puke i m not really eating i m losing weight when im on a date with my boyfriend i ruin the whole thing cuz i just need to go home and lay down someone please help me i have a doctor appointment to discus this but i just want outsider opinion i feel lost confused and scared,1
triviathursday onepsychcommunity trigger warning the following post discus depression suicidal ideation and suicidal attempt that may be harmful to some audience reader discretion is advised http t co tufohfqg,1
so rylee grace wana go steve s party or not sadly since it easter i wnt b able do much but ohh well,0
i don t really know what to do anymore like for almost 0 year i ve always been sad mostly because of my own inabilites yes i m talentless and below average intelligence then we kinda move here in a rural area ran into financial trouble which lead to me having chronic depression where every waking moment i feel so frustrated and anxious of my situation i wa socially isolated in school and wa looked at like a failure at home i managed to get by for the next year after that even i don t know why now i kinda get a silent anxiety attack now and then even on the slightest thing my mental health is on the brink of just breaking i can t take that anymore please suggest a way to end myself in a rather non violent manner i think it s my time to move on from our cruel world,1
why do i get hot easily and my anxiety get really bad where i need to leave whether it s the gym or doing my nail i have no problem socializing but i fine myself needing to leave situation when i start feeling like this it s so consuming can someone help,1
two nfts worth 0k now worth 00 i m slowing sliding into depression,1
i think i need to get laid sad revolution i had earlier rofl http twurl nl ibz wb,0
i saw a new pcp for an annual physical and while i wa there figured i d mention some of the physical symptom of anxiety i wa having to make sure it wa not actually medical i told her it often feel like my throat is really tight and on the verge of closing her only reply a she roll her eye that is literally impossible if your throat wa closing you wouldn t be talking to me right now me no duh obviously not but it feel like it s closing she wa the worst doctor i ve ever seen which is saying a lot and i wa so mad walking out of that appointment for other reason a well but the day after a my throat wa tightening i just remembered her saying it s literally impossible and couldn t stop laughing,1
whenever i m about to fall down in the dump i start having a very very intense feeling of disgust everyone and everything feel gross to me i start hating my mother s laugh and voice i hate every smell i start hating myself even more i feel gross when i look at the mirror i want to hide and i wish i were dead everything feel bigger and more detailed i start eating like a pig and feel horrible ha someone felt this way do you know how to snap out of it it s better when i m just tired of everything not grossed out i m tired of this stuff,1
something s wrong i keep getting some error graphic instead of the music player when i go to a musician s myspace page now,0
theekween it help with depression anxiety heartbreak and loss of a loved one thelmasherbs,1
i ve been woth my boyfriend for two year now but i ve known him for he get triggered fairly fast and he end up feeling anxious for hour or he get very intense anxiety attack where he can t breathe well and he start cry uncontrollably the first thing i used to do when i sense that he s getting anxious wa give him a hug or even just hold his hand physical touch seemed to help him so much it immediately calmed him down and he would be able to talk about what wa making him feel scared or overwhelmed or threatened however we re now in a long distance relationship and i haven t seen him in a year it s very difficult for both of u but this specifically make it unbearable at time we both know that we ll see each other soon but saying that doesn t help when he s anxious what should i do,1
hello everyone i am currently on a trip for spring break college senior with friend and really struggling first a little background though i am now but have struggled with anxiety on and off my entire life it started with separation anxiety probably not being okay going to daycare or anything of the sort even with my older brother just because i couldn t stand being away from my parent i also would get hysterical if they left for a trip etc i also would be frantic and cry at the end of the school day in elementary school because i worried my parent wouldn t be there to pick me up a i got older this morphed into more health anxiety i also faint around needle so i have a big fear of fainting and then into panic disorder in high school diagnosed by my therapist i have seen a number of therapist off and on but never gone on any medication for anxiety my parent are super supportive of therapy but have always been more skeptical of med for mental health i also had a really hard time going to college even though it wa only an hour away because i got majorly homesick and struggled with adjustment disorder i eventually did adjust and now totally love my school but it took me a solid semester to overcome by homesickness fast forward to present i have noticed i get really nervous for trip that are somewhere unfamiliar to me and where i don t have one of my safe people with me my parent or my boyfriend i have amazing friend who are caring and supportive but for some reason they don t fall into my safe category like my parent or boyfriend do also just a sidenote but i had a generally happy childhood and have a great relationship with my parent for whatever relevance that may have i have huge anxiety leading up to trip and then also when i arrive and it tends to be crippling if i don t have a safe person there right now i am in mexico for day on spring break with three of my friend and i feel tremendously awful and sad like not necessarily panicky but just really deeply sad and like i want nothing more than to go home and hug my loved one i am trying to do more research and it seems like this could be a separation anxiety type issue in place where i feel comfortable hometown college town etc i am totally happy doing thing alone being independent of my safe people so it isn t an all the time thing but it is making travel really not fun for me and i honestly just want nothing more than to go home any advice would be great i am currently in therapy cbt general talk therapy mashup and will be bringing this up with my therapist but i would really love any and all suggestion for both tackling this immediately and trying to enjoy my trip and for way to think about this when i talk with my therapist i know this is a bit rambling so sorry and thank you,1
trying to extend reading the watchman by not reading it at all i dont want it to end,0
i can t stand feeling like nobody care anymore it sound weird and desperate but i really just want to love someone and them to love me back,1
